# Site ID, Site Name, Latitude, Longitude, Altitude (m)
us041847201n00,Site01,41.84,-72.01,
us044386826n00,Site02,44.38,-68.26,
us030709467n00,Site03,30.7,-94.67,
us038878962n00,Site04,38.87,-89.62,
us042428390n00,Site05,42.42,-83.9,
us039927731n00,Site06,39.92,-77.31,
us046606841n00,Site07,46.6,-68.41,
us0442810804n00,Site08,44.28,-108.04,
us0293010317n00,Site09,29.3,-103.17,
us039037682n00,Site10,39.03,-76.82,
us034897662n00,Site11,34.89,-76.62,
us0441410610n00,Site12,44.14,-106.1,
us040058837n00,Site13,40.05,-88.37,
us038457611n00,Site14,38.45,-76.11,
us034189310n00,Site15,34.18,-93.1,
us0384610982n00,Site16,38.46,-109.82,
us041947455n00,Site17,41.94,-74.55,
us038888085n00,Site18,38.88,-80.85,
us036788785n00,Site19,36.78,-87.85,
us0320010938n00,Site20,32.0,-109.38,
us035759467n00,Site21,35.75,-94.67,
us037928307n00,Site22,37.92,-83.07,
us035267984n00,Site23,35.26,-79.84,
us0413610624n00,Site24,41.36,-106.24,
us035068343n00,Site25,35.06,-83.43,
us042407665n00,Site26,42.4,-76.65,
us034008980n00,Site27,34.0,-89.8,
us039638326n00,Site28,39.63,-83.26,
us0637214896n00,Site29,63.72,-148.96,
us0404310930n00,Site30,40.43,-109.3,
us035977910n00,Site31,35.97,-79.1,
us044237978n00,Site32,44.23,-79.78,
us036048573n00,Site33,36.04,-85.73,
us025398068n00,Site34,25.39,-80.68,
us0443410591n00,Site35,44.34,-105.91,
us033188441n00,Site36,33.18,-84.41,
us0485111399n00,Site37,48.51,-113.99,
us0390111421n00,Site38,39.01,-114.21,
us0360611218n00,Site39,36.06,-112.18,
us035638394n00,Site40,35.63,-83.94,
us0389610698n00,Site41,38.96,-106.98,
us044188574n00,Site42,44.18,-85.74,
us043977422n00,Site43,43.97,-74.22,
us027858096n00,Site44,27.85,-80.96,
us0340711638n00,Site45,34.07,-116.38,
us041607877n00,Site46,41.6,-78.77,
us039859566n00,Site47,39.85,-95.66,
us039109661n00,Site48,39.1,-96.61,
us0405412157n00,Site49,40.54,-121.57,
us039997925n00,Site50,39.99,-79.25,
us037148614n00,Site51,37.14,-86.14,
us037708505n00,Site52,37.7,-85.05,
us037708505n00,Site53,37.7,-85.05,
us0372010849n00,Site54,37.2,-108.49,
us041438015n00,Site55,41.43,-80.15,
us0438710419n00,Site56,43.87,-104.19,
us043687499n00,Site57,43.68,-74.99,
us0462811602n00,Site58,46.28,-116.02,
us039538472n00,Site59,39.53,-84.72,
us0348910166n00,Site60,34.89,-101.66,
us039097966n00,Site61,39.09,-79.66,
us037177831n00,Site62,37.17,-78.31,
us0348310989n00,Site63,34.83,-109.89,
us0364812115n00,Site64,36.48,-121.15,
us0429310978n00,Site65,42.93,-109.78,
us036118205n00,Site66,36.11,-82.05,
us045219060n00,Site67,45.21,-90.6,
us040727793n00,Site68,40.72,-77.93,
us039948134n00,Site69,39.94,-81.34,
us047869484n00,Site70,47.86,-94.84,
us0402810554n00,Site71,40.28,-105.54,
us040828566n00,Site72,40.82,-85.66,
us042839785n00,Site73,42.83,-97.85,
us0364911882n00,Site74,36.49,-118.82,
us0449310685n00,Site75,44.93,-106.85,
us038527843n00,Site76,38.52,-78.43,
us034298597n00,Site77,34.29,-85.97,
us036478383n00,Site78,36.47,-83.83,
us042299000n00,Site79,42.29,-90.0,
us030118499n00,Site80,30.11,-84.99,
us0468910337n00,Site81,46.89,-103.37,
us044537287n00,Site82,44.53,-72.87,
us043618336n00,Site83,43.61,-83.36,
us038748748n00,Site84,38.74,-87.48,
us048419283n00,Site85,48.41,-92.83,
us037338056n00,Site86,37.33,-80.56,
us044397386n00,Site87,44.39,-73.86,
us0435610348n00,Site88,43.56,-103.48,
us040317487n00,Site89,40.31,-74.87,
us043947170n00,Site90,43.94,-71.7,
us0445711040n00,Site91,44.57,-110.4,
us0377111970n00,Site92,37.71,-119.7,
